0.00%,14.00%,7.10%,8.60%,7.60%,7.60%,7.30%,7.10%,6.90%,6.80%
0.00%,0.00%,0.00%,1.70%,1.80%,2.40%,2.70%,3.00%,3.20%,3.40%
